danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.295,0.797,8,-3.193,0,0.0301,0.598,0.000427,0.125,0.107,150.301,audio_features,0GrHWVTDsaWcD4nrCGr7VE,spotify:track:0GrHWVTDsaWcD4nrCGr7VE,https://api.spotify.com/v1/tracks/0GrHWVTDsaWcD4nrCGr7VE,https://api.spotify.com/v1/audio-analysis/0GrHWVTDsaWcD4nrCGr7VE,320693,4
0.364,0.922,0,-4.217,0,0.0566,0.000918,0.035,0.0696,0.227,79.342,audio_features,4e9eGQYsOiBcftrWXwsVco,spotify:track:4e9eGQYsOiBcftrWXwsVco,https://api.spotify.com/v1/tracks/4e9eGQYsOiBcftrWXwsVco,https://api.spotify.com/v1/audio-analysis/4e9eGQYsOiBcftrWXwsVco,235053,4
0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,audio_features,6U0FIYXCQ3TGrk4tFpLrEA,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,https://api.spotify.com/v1/tracks/6U0FIYXCQ3TGrk4tFpLrEA,https://api.spotify.com/v1/audio-analysis/6U0FIYXCQ3TGrk4tFpLrEA,204533,4
0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,audio_features,7KwZNVEaqikRSBSpyhXK2j,spotify:track:7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/tracks/7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/audio-analysis/7KwZNVEaqikRSBSpyhXK2j,229827,4
0.263,0.89,0,-2.913,1,0.177,0.0022,0.00348,0.306,0.286,190.389,audio_features,1qGmxIGEuBEkj7bft72Kh0,spotify:track:1qGmxIGEuBEkj7bft72Kh0,https://api.spotify.com/v1/tracks/1qGmxIGEuBEkj7bft72Kh0,https://api.spotify.com/v1/audio-analysis/1qGmxIGEuBEkj7bft72Kh0,151733,4
0.495,0.974,1,-3.252,1,0.135,0.0202,8.31e-05,0.182,0.354,99.733,audio_features,3AwLxSqo1jOOMpNsgxqRNE,spotify:track:3AwLxSqo1jOOMpNsgxqRNE,https://api.spotify.com/v1/tracks/3AwLxSqo1jOOMpNsgxqRNE,https://api.spotify.com/v1/audio-analysis/3AwLxSqo1jOOMpNsgxqRNE,201160,4
0.377,0.99,1,-1.594,1,0.0611,0.00046,5.86e-06,0.259,0.761,110.706,audio_features,47EqCQZG5v4o0WFMufGf5S,spotify:track:47EqCQZG5v4o0WFMufGf5S,https://api.spotify.com/v1/tracks/47EqCQZG5v4o0WFMufGf5S,https://api.spotify.com/v1/audio-analysis/47EqCQZG5v4o0WFMufGf5S,131707,4
0.288,0.987,4,-1.359,1,0.223,0.0168,0.0,0.264,0.336,184.662,audio_features,28TReO2Mxk9Q3GA4K98YSz,spotify:track:28TReO2Mxk9Q3GA4K98YSz,https://api.spotify.com/v1/tracks/28TReO2Mxk9Q3GA4K98YSz,https://api.spotify.com/v1/audio-analysis/28TReO2Mxk9Q3GA4K98YSz,147960,4
0.446,0.953,5,-2.268,0,0.0989,0.000201,0.0241,0.357,0.232,120.013,audio_features,0Xmbtw7NhNiDnL4BWy5wDh,spotify:track:0Xmbtw7NhNiDnL4BWy5wDh,https://api.spotify.com/v1/tracks/0Xmbtw7NhNiDnL4BWy5wDh,https://api.spotify.com/v1/audio-analysis/0Xmbtw7NhNiDnL4BWy5wDh,153773,4
0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.459,140.06,audio_features,3swc6WTsr7rl9DqQKQA55C,spotify:track:3swc6WTsr7rl9DqQKQA55C,https://api.spotify.com/v1/tracks/3swc6WTsr7rl9DqQKQA55C,https://api.spotify.com/v1/audio-analysis/3swc6WTsr7rl9DqQKQA55C,221440,4
0.207,0.972,4,-3.21,0,0.186,0.00083,0.0158,0.318,0.364,180.798,audio_features,6y2DHyCYf6azhUfXmnuH6w,spotify:track:6y2DHyCYf6azhUfXmnuH6w,https://api.spotify.com/v1/tracks/6y2DHyCYf6azhUfXmnuH6w,https://api.spotify.com/v1/audio-analysis/6y2DHyCYf6azhUfXmnuH6w,200600,4
